gene_id,symbol,name
ENSG00000180801,ARSJ,arylsulfatase family member J
ENSG00000180803,,
ENSG00000180806,HOXC9,homeobox C9
ENSG00000180815,MAP3K15,mitogen-activated protein kinase kinase kinase 15
ENSG00000180817,PPA1,inorganic pyrophosphatase 1
ENSG00000180818,HOXC10,homeobox C10
ENSG00000180822,PSMG4,proteasome assembly chaperone 4
ENSG00000180834,MAP6D1,MAP6 domain containing 1
ENSG00000180855,ZNF443,zinc finger protein 443
ENSG00000180867,PDIA3P1,protein disulfide isomerase family A member 3 pseudogene 1
ENSG00000180871,CXCR2,C-X-C motif chemokine receptor 2
ENSG00000180875,GREM2,"gremlin 2, DAN family BMP antagonist"
ENSG00000180878,C11orf42,chromosome 11 open reading frame 42
ENSG00000180879,SSR4,signal sequence receptor subunit 4
ENSG00000180881,CAPS2,calcyphosine 2
ENSG00000180884,ZNF792,zinc finger protein 792
ENSG00000180891,CUEDC1,CUE domain containing 1
ENSG00000180900,SCRIB,scribble planar cell polarity protein
ENSG00000180901,KCTD2,potassium channel tetramerization domain containing 2
ENSG00000180902,D2HGDH,D-2-hydroxyglutarate dehydrogenase
ENSG00000180914,OXTR,oxytocin receptor
ENSG00000180917,CMTR2,cap methyltransferase 2
ENSG00000180919,OR56B4,olfactory receptor family 56 subfamily B member 4
ENSG00000180921,SACK1H,scaffolding CK1 anchoring protein H
ENSG00000180929,GPR62,G protein-coupled receptor 62
ENSG00000180934,OR56A1,olfactory receptor family 56 subfamily A member 1
ENSG00000180938,ZNF572,zinc finger protein 572
ENSG00000180953,ST20,suppressor of tumorigenicity 20
ENSG00000180957,PITPNB,phosphatidylinositol transfer protein beta
ENSG00000180964,TCEAL8,transcription elongation factor A like 8
ENSG00000180974,OR52E4,olfactory receptor family 52 subfamily E member 4
ENSG00000180979,LRRC57,leucine rich repeat containing 57
ENSG00000180988,OR52N2,olfactory receptor family 52 subfamily N member 2
ENSG00000180992,MRPL14,mitochondrial ribosomal protein L14
ENSG00000180998,GPR137C,G protein-coupled receptor 137C
ENSG00000180999,C1orf105,chromosome 1 open reading frame 105
